trading_event,date,amf,but,bmp,smp,wmp
103,2013-05-11,5343.272148,3528.7376170000002,4523.503254,4559.336807,4891.049507
104,2013-11-19,5255.350365,3582.852229,4753.333333,4582.537555,4869.755002
105,2013-03-12,5395.37928,3750.2493729999997,4630.333333,4790.811534,5035.286356000001
106,2013-12-17,5667.966867,4050.8955939999996,5070.0,4868.153566,4958.137271000001
107,2014-07-01,5538.25596,4222.68866,4538.945409,4687.515688,4934.431126
108,2014-01-21,5640.878748,4657.115677000002,5244.4334979999985,4698.247006000001,4942.612713
109,2014-04-02,5569.335303,4745.035444,4774.924433,4746.018082,5004.520651
110,2014-02-18,5313.762933,4585.899827,5355.0,4779.874397,4998.992541
111,2014-04-03,5126.3683409999985,4745.895815,4791.647564,4658.126687,4702.7552270000015
112,2014-03-18,4578.416774,4534.18768,5253.333333,4583.905961,4439.25317
113,2014-01-04,4061.806697,4040.012263,4210.882353,4126.479793,4032.550629
114,2014-04-15,4085.826377,3832.397695,4075.0,3969.251152,3990.287606
115,2014-06-05,4170.033359,3891.625954,3713.1959909999996,3873.008678,3928.391796
116,2014-05-20,4255.012896,3666.500822,3950.0,3732.983696,3876.979098
117,2014-03-06,4057.685441,3634.262056,3628.333333,3863.289881,3594.286684
118,2014-06-17,3898.218482,3699.25979,4535.0,3854.917006,3658.27517
119,2014-01-07,3605.57629,3180.580862000001,4134.61165,3810.3447,3459.0299549999995
120,2014-07-15,3249.631832,3144.012784,4425.509915,3515.763723,3088.420718
121,2014-05-08,3456.6873520000013,2800.450777,3852.142857,3263.700066,2724.898332
122,2014-08-19,3566.236433,2939.752511,3885.9846549999997,2873.596894,2804.261625
123,2014-02-09,3360.354048,2753.458837,3173.809524,2599.716949,2672.538209
124,2014-09-16,3264.301938,2697.535875,3140.179949,2619.058734,2691.954502
125,2014-01-10,3117.136262,2513.68669,2722.89749,2540.209734,2443.30024
126,2014-10-15,3345.512346,2613.798752,2685.075075,2462.320652,2503.150245
127,2014-04-11,3292.488809,2505.295567,2426.410835,2456.503098,2521.879658
128,2014-11-18,3489.500154,2656.238318,2511.0,2299.289434,2399.724789
129,2014-02-12,3816.812281,2849.194561,2560.0,2423.2910850000007,2229.045205
130,2014-12-16,4199.590495,3144.782051,2465.833333,2319.591769,2270.291131
131,2015-06-01,4493.173205,3558.404997,2735.642202,2385.534021,2306.841494
132,2015-01-20,4285.716225,3564.493318,2558.612565,2389.075726,2402.054734
133,2015-03-02,4066.654439,3783.052109,2436.06383,2597.508639,2873.822221
134,2015-02-17,4313.596298,3822.9110049999995,2673.552124,2743.64098,3272.458481
135,2015-03-03,4236.958373,3911.8577649999997,2681.029083,2935.150868,3241.23375
136,2015-03-17,3877.482135,3555.133758,2635.0,2731.450139,2927.719603
137,2015-01-04,3662.982589,3258.846154,2130.0,2467.353017000001,2538.114562
138,2015-04-15,3743.536079,3026.23061,2207.7235769999998,2253.424482,2445.646204
139,2015-05-05,3504.909253000001,3004.79034,1748.090452,2047.706926,2385.812546
140,2015-05-19,3336.661437,2911.160131,1930.0,1991.987661,2390.030116
141,2015-02-06,3112.498675,2619.487952,1795.0,1982.49536,2308.963916
142,2015-06-16,2813.89648,2707.3505649999997,1975.0,1977.72999,2327.192648
143,2015-01-07,2855.478723,2694.445928,1877.727273,1875.418275,2054.331291
144,2015-07-15,2621.381623,2460.372268,1794.41349,1702.187809,1847.830969
145,2015-04-08,2253.416206,2292.917208,1700.064935,1418.534836,1590.096476
146,2015-08-18,2723.70438,2540.830389,1400.0,1520.990402,1855.930063
147,2015-01-09,3028.817949,2745.944079,1828.6666670000002,1697.779099,2077.705029
148,2015-09-15,3439.656334,3108.145161,1719.257143,1991.861393,2494.854702
149,2015-06-10,3762.715108,3037.316237,1944.576613,2267.277299,2823.777114
150,2015-10-20,3856.249628,2850.0,2063.615385,2177.859308,2693.746685
151,2015-03-11,3646.512384000001,2574.352442000001,1844.0,2017.807582,2453.312872
